City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
423,sarrat,18.1574,120.647,28.9,58,20,3.6,PH,1704606293
424,marquette,46.5333,-87.6335,-3.31,97,100,2.37,US,1704606293
425,magadan,59.5667,150.8,-33.04,82,7,2.53,RU,1704606294
426,kavieng,-2.5744,150.7967,28.94,75,73,3.49,PG,1704606294
427,rocha,-34.4833,-54.3333,19.14,99,83,1.49,UY,1704606146
428,tyukalinsk,55.8732,72.1967,-21.28,98,68,3.72,RU,1704606294
429,ta`u,-14.2336,-169.5144,28.6,77,53,5.14,AS,1704606295
430,hats'avan,39.4641,45.9705,-0.71,53,0,1.94,AM,1704606295
431,babu,24.4167,111.5167,20.51,65,84,1.75,CN,1704606295
432,saint-philippe,-21.3585,55.7679,27.77,75,96,4.26,RE,1704606295
433,caleta de carquin,-11.0925,-77.6267,21.18,89,100,5.55,PE,1704606299
434,bandarbeyla,9.4942,50.8122,26.05,59,33,9.54,SO,1704606300
435,buta,2.7858,24.73,22.69,42,9,0.87,CD,1704606300
436,bydgoszcz,53.1235,18.0076,-5.78,71,75,5.14,PL,1704606268
437,mount gambier,-37.8333,140.7667,23.14,81,100,1.26,AU,1704606300
438,manaure,11.7751,-72.4445,26.1,80,7,7.95,CO,1704606300
439,machico,32.7,-16.7667,21.11,90,75,6.17,PT,1704606301
440,nar'yan-mar,67.6713,53.087,-16.05,95,15,3.13,RU,1704606234
441,isola di capo rizzuto,38.96,17.0933,12.32,90,98,7.9,IT,1704606301
442,khorixas,-20.3667,14.9667,24.38,49,79,1.81,NA,1704606301
443,bechar,31.6167,-2.2167,3.18,44,16,1.03,DZ,1704606302
444,muroto-misakicho,33.2833,134.15,11.15,48,17,11.73,JP,1704606302
445,bugana,7.9992,7.5836,22.04,25,15,1.41,NG,1704606302
446,west bay,19.3667,-81.4167,26.11,87,0,1.34,KY,1704606302
447,cumana,10.4635,-64.1775,23.97,74,3,3.36,VE,1704606303
448,kili,5.6439,169.1211,27.93,76,89,9.33,MH,1704606303
449,alofi,-19.0595,-169.9187,27.94,83,49,5.66,NU,1704606303
450,harper,4.375,-7.7169,26.46,86,4,3.06,LR,1704606304
451,severo-yeniseyskiy,60.3725,93.0408,-23.57,99,61,1.79,RU,1704606304
452,phongsali,21.6833,102.1058,18.24,65,91,1.23,LA,1704606304
453,marshall,34.3834,-86.3333,6.17,92,100,4.12,US,1704606305
454,thinadhoo,0.5333,72.9333,27.61,81,99,5.99,MV,1704606305
455,mili,6.0815,171.735,27.86,80,100,9.25,MH,1704606306
456,mpulungu,-8.7623,31.1141,23.81,76,86,0.44,ZM,1704606306
457,mao,39.8885,4.2658,8.31,87,40,3.09,ES,1704606306
458,dondukovskaya,44.8819,40.3627,5.8,62,100,2.21,RU,1704606306
459,al burayqah,30.4062,19.5739,15.27,46,1,9.33,LY,1704606307
460,mayya,61.7333,130.2811,-48.16,100,67,0.78,RU,1704606307
461,toktogul,41.8708,72.9402,4.69,78,100,0.57,KG,1704606307
462,tauste,41.918,-1.2534,6.27,75,78,8.04,ES,1704606308
463,sola,-13.8833,167.55,28.34,71,76,1.21,VU,1704606018
464,diawara,15.022,-12.5437,21.29,13,0,3.6,SN,1704606308
465,alibag,18.6411,72.8792,29.04,46,25,1.11,IN,1704606309
466,broome,42.2506,-75.833,-1.0,96,100,1.34,US,1704606309
467,essaouira,31.5125,-9.77,8.72,76,99,2.06,MA,1704606310
468,minab,27.1467,57.0801,21.89,51,68,1.59,IR,1704606310
469,labuan,5.2767,115.2417,31.2,74,20,4.63,MY,1704606064
470,rongelap,11.1635,166.8941,27.25,67,92,8.03,MH,1704606310
471,howrah,22.5892,88.3103,22.0,73,2,3.6,IN,1704606311
472,horta,38.5333,-28.6333,14.45,79,100,1.79,PT,1704606311
473,yutz,49.3587,6.1892,4.5,86,100,0.45,FR,1704606311
474,long beach,33.767,-118.1892,15.18,82,20,1.79,US,1704606248
475,randudongkal,-7.0981,109.3243,27.52,79,87,2.12,ID,1704606312
476,rikaze,29.25,88.8833,1.68,13,0,0.36,CN,1704606312
477,zarate,-34.0981,-59.0286,22.8,74,5,1.83,AR,1704606054
478,arraial do cabo,-22.9661,-42.0278,23.66,86,33,1.75,BR,1704606312
479,nieuw amsterdam,5.8833,-55.0833,25.01,86,32,4.17,SR,1704606313
480,island harbour,50.724,-1.2758,3.97,87,98,3.58,GB,1704606313
481,belmonte,-15.8631,-38.8828,24.49,98,100,0.67,BR,1704606313
482,salinas,36.6777,-121.6555,11.02,78,0,3.6,US,1704606123
483,kinablangan,7.6947,126.5503,28.58,71,100,2.63,PH,1704606314
484,parauna,-16.9478,-50.4486,20.16,95,19,1.5,BR,1704606314
485,viedma,-40.8135,-62.9967,19.01,49,0,3.76,AR,1704606062
486,chunskiy,56.0815,99.6342,-5.18,96,100,4.92,RU,1704606314
487,le lavandou,43.137,6.366,8.9,50,0,6.17,FR,1704606315
488,altai,46.3722,96.2583,-6.14,72,94,2.5,MN,1704606315
489,kabalo,-6.05,26.9167,22.47,87,98,0.23,CD,1704606315
490,neyshabur,36.2133,58.7958,6.14,48,100,1.08,IR,1704606315
491,geraldton,-28.7667,114.6,31.23,42,0,7.72,AU,1704606316
